Police Department,State,sort order,data entered?,agency_type,ori,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data,civilian_complaints_source,civilian_complaints_source_link,2019 data available?,civilian_complaints_reported_2013,civilian_complaints_sustained_2013,use_of_force_complaints_reported_2013,use_of_force_complaints_sustained_2013,discrimination_complaints_reported_2013,discrimination_complaints_sustained_2013,criminal_complaints_reported_2013,criminal_complaints_sustained_2013,complaints_in_detention_reported_2013,complaints_in_detention_sustained_2013,civilian_complaints_reported_2014,civilian_complaints_sustained_2014,use_of_force_complaints_reported_2014,use_of_force_complaints_sustained_2014,discrimination_complaints_reported_2014,discrimination_complaints_sustained_2014,criminal_complaints_reported_2014,criminal_complaints_sustained_2014,complaints_in_detention_reported_2014,complaints_in_detention_sustained_2014,civilian_complaints_reported_2015,civilian_complaints_sustained_2015,use_of_force_complaints_reported_2015,use_of_force_complaints_sustained_2015,discrimination_complaints_reported_2015,discrimination_complaints_sustained_2015,criminal_complaints_reported_2015,criminal_complaints_sustained_2015,complaints_in_detention_reported_2015,complaints_in_detention_sustained_2015,civilian_complaints_reported_2016,civilian_complaints_sustained_2016,use_of_force_complaints_reported_2016,use_of_force_complaints_sustained_2016,discrimination_complaints_reported_2016,discrimination_complaints_sustained_2016,criminal_complaints_reported_2016,criminal_complaints_sustained_2016,complaints_in_detention_reported_2016,complaints_in_detention_sustained_2016,civilian_complaints_reported_2017,civilian_complaints_sustained_2017,use_of_force_complaints_reported_2017,use_of_force_complaints_sustained_2017,discrimination_complaints_reported_2017,discrimination_complaints_sustained_2017,criminal_complaints_reported_2017,criminal_complaints_sustained_2017,complaints_in_detention_reported_2017,complaints_in_detention_sustained_2017,civilian_complaints_reported_2018,civilian_complaints_sustained_2018,use_of_force_complaints_reported_2018,use_of_force_complaints_sustained_2018,discrimination_complaints_reported_2018,discrimination_complaints_sustained_2018,criminal_complaints_reported_2018,criminal_complaints_sustained_2018,complaints_in_detention_reported_2018,complaints_in_detention_sustained_2018,civilian_complaints_reported_2019,civilian_complaints_sustained_2019,use_of_force_complaints_reported_2019,use_of_force_complaints_sustained_2019,discrimination_complaints_reported_2019,discrimination_complaints_sustained_2019,criminal_complaints_reported_2019,criminal_complaints_sustained_2019,complaints_in_detention_reported_2019,complaints_in_detention_sustained_2019,civilian_complaints_reported_2020,civilian_complaints_sustained_2020,use_of_force_complaints_reported_2020,use_of_force_complaints_sustained_2020,discrimination_complaints_reported_2020,discrimination_complaints_sustained_2020,criminal_complaints_reported_2020,criminal_complaints_sustained_2020,complaints_in_detention_reported_2020,complaints_in_detention_sustained_2020,civilian_complaints_reported_2021,civilian_complaints_sustained_2021,use_of_force_complaints_reported_2021,use_of_force_complaints_sustained_2021,discrimination_complaints_reported_2021,discrimination_complaints_sustained_2021,criminal_complaints_reported_2021,criminal_complaints_sustained_2021,complaints_in_detention_reported_2021,complaints_in_detention_sustained_2021,civilian_complaints_reported_2022,civilian_complaints_sustained_2022,use_of_force_complaints_reported_2022,use_of_force_complaints_sustained_2022,discrimination_complaints_reported_2022,discrimination_complaints_sustained_2022,criminal_complaints_reported_2022,criminal_complaints_sustained_2022,complaints_in_detention_reported_2022,complaints_in_detention_sustained_2022,Notes,Data input by,Complaints data fact-checked? (Put your Slack handle here if you've finished checking all the info for columns E-O). Change any cells that are incorrect and highlight the ones you've changed in yellow.,Response,FINAL CHECK,Matches aggregated?,2016-2019 Updated Data,2021 Request Fact-Checking (requests filed in 2021 for data from previous years),2021 Response 1,2021 Re-check,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data_original,population
Cincinnati,OH,56,Yes,police-department,OHCIP0000,4971,644,296,18,103,2,4,0,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,453,95,55,,11,,0,,,,545,72,64,,20,,0,,,,473,50,61,,12,,0,,,,446,28,82,,16,,7,,,,537,60,69,,12,,0,,,,487,56,73,3,16,0,1,0,,,745,98,86,7,21,1,0,0,,,654,99,70,4,26,0,1,0,,,631,86,67,4,40,1,2,0,,,201,24,36,0,24,0,4,1,,,"alliemonck: INDIVIDUALIZED, have excessive force complaints",samswey,@MaryHammond - could not verify civilian complaints and discrimination complaints data,,Good,Good,,,,,4971,644,296,18,103,2,4,0,,,2016-21,304724
Syracuse,NY,57,Yes,police-department,NY0330100,310,40,102,15,97,7,,,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,14,33,7,31,1,,,,,118,18,37,6,37,5,,,,,83,8,32,2,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: only have 2017 + 2018 data,alliemonck,"@yael, it looks like the # of complaints was actually 83 but some complaints had multiple allegations, but if you add them all up the number is 227, so not sure where the number 201 came from, excessive force looked like 32, other #s not verified",,Good,Good,,,,,310,40,102,15,97,7,,,,,2016-21,142011
Virginia Beach,VA,58,Yes,police-department,VA1280000,322,37,,,,,,,,,2018-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,19,44,,15,,,,,,128,18,24,,10,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: only have 2018 data,alliemonck,"@yael, could not verify H",,Good - removed UOF sustained,Good - discrimination complaints not on other side,,,,,322,37,,,,,,,,,2016-21,450858
Seminole,FL,59,Yes,sheriff,FL0590000,193,7,0,0,0,0,0,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,3,,,,,,,,,54,2,,,,,,,,,56,2,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,0,0,,,,,,,,,,,,,alliemonck: 2019 did not have any formal investigations from an external source,alliemonck,"@yael, cound not verify use of force #s",,Good - removed UOF data,Good,,,,,193,7,0,0,0,0,0,0,,,2016-21,225869
Charlotte-Mecklenburg,NC,60,Yes,police-department,NC0600100,440,161,76,11,,,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,27,,,,,,,,,50,21,,,,,,,,,45,22,,,,,,,,,67,26,19,2,,,,,,,70,29,23,6,,,,,,,123,36,34,3,,,1,,,,94,33,,,,,,,,,alliemonck: used allegations #s,alliemonck,"@yael, could not verify F and H because complaints sustained appeared to include but internal and external complaints",,Good - removed UOF sustained,Good,,,,,440,161,76,11,,,,,,,2016-21,958358
Boise,ID,61,Yes,police-department,ID0010100,539,142,123,5,,,1,1,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,102,27,16,0,,,,,,,62,22,16,0,,,,,,,62,13,19,0,,,,,,,52,8,11,0,,,,,,,50,13,13,3,,,,,,,72,24,14,2,,,,,,,68,23,20,0,,,,,,,33,7,6,0,,,1,1,,,38,5,8,0,,,0,0,,,47,6,1,0,,,3,0,,,alliemonck: no breakdown by type,alliemonck; 2021 samswey,@yael,,Good,Good,maryhammond 2013-15,maryhammond - is it OK that 2020 criminal sustained # is larger than criminal complaint #?,"alliemonck - they didn't provide us with allegation totals which is what I assume makes the # sustained higher, we'll leave for now",,539,142,123,5,,,1,1,,,2016-21,231223
Austin,TX,62,Yes,police-department,TX2270100,5022,104,301,3,159,10,253,3,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177,7,124,1,62,,247,2,,,1303,3,104,2,84,1,9,,,,976,2,64,,57,,12,,,,53,28,,,,,,,,,501,52,,,25,5,,,,,1012,12,73,0,50,4,6,1,,,,,,,,,,,,,alliemonck: no data for 2016 on,alliemonck;samswey,"@yael, could not verify data as it ends in 2015",,Good - removed UOF and discriminatory policing #s,,,,,,5022,104,301,3,159,10,253,3,,,2016-21,943059
Flagstaff,AZ,63,Yes,police-department,AZ0030100,169,24,,,,,,,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,10,,,,,,,,,41,5,,,,,,,,,57,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no breakdown by type,alliemonck,"@yael, could not verify use of force data, also sustained complaints include partially sustained",,Good - removed UOF,Good,,,,,169,24,,,,,,,,,2016-21,76107
Baltimore County,MD,64,Yes,police-department,MD0030100,292,38,131,2,9,0,36,2,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3,,,,,,,,,52,7,25,1,6,0,10,1,,,44,4,30,0,1,0,7,0,,,48,6,29,0,1,0,9,1,,,44,10,27,1,1,0,7,0,,,33,8,20,0,0,0,3,0,,,,,,,,,,,,,alliemonck: no breakdown by type,alliemonck; 2020-21 samswey,"@yael, could only verify E+F, Muckrock link ""page not found""",,Good - added 2019 data,Good,,,,,292,38,131,2,9,0,36,2,,,2016-21,826987
Honolulu,HI,65,Yes,police-department,HI0020000,1389,301,40,3,3,0,102,23,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,141,36,16,1,0,0,16,2,,,176,44,6,1,0,0,19,7,,,100,31,2,0,1,0,20,9,,,101,18,0,0,0,0,4,1,,,141,33,2,0,0,0,4,0,,,152,15,2,0,1,0,11,1,,,174,40,3,1,0,0,13,2,,,185,29,6,0,0,0,12,0,,,219,55,3,0,1,0,3,1,,,,,,,,,,,,,alliemonck: only have 2016 + 2-17 data; no breakdown by type,alliemonck; samswey,"@yael, some info was for 2016-2018, some for 2016-2017, could not verify, also seems to be different categories for force (excessive use of force vs. malicious use of force) so wasn't sure what to include",,Good,Good,,,,,1389,301,40,3,3,0,102,23,,,2016-21,966438
Little Rock,AR,66,Yes,police-department,AR0600200,139,12,6,0,8,0,,,,,2021,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,43,,,,,,,,,,85,,,,,,,,,,68,,,,,,,,,,112,,,,,,,,,,139,12,6,0,8,0,,,,,119,26,5,0,2,0,5,0,,,alliemonck: no data in doc,alliemonck;samswey,"@yael, could not verify because Little Rock wasn't in the doc",,Unclear,,maryhammond,maryhammond,,,139,12,6,0,8,0,,,,,2016-21,197688
Kansas City,MO,67,Yes,police-department,MOKPD0000,2637,75,294,4,61,0,,,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,407,12,47,1,7,0,,,,,393,3,41,0,4,0,,,,,326,12,44,2,5,0,,,,,287,7,34,0,4,0,,,,,221,11,29,0,2,0,,,,,277,2,27,0,3,0,,,,,274,9,42,0,10,0,,,,,236,8,26,1,4,0,,,,,216,11,4,0,22,0,,,,,,,,,,,,,,,alliemonck: no criminal complaints,alliemonck,"@yael, @ashtaan",,Good,Good,,,,,2637,75,294,4,61,0,,,,,2016-21,318398
Kansas City,KS,68,Yes,police-department,KS1050200,205,40,12,2,13,1,2,1,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,13,5,0,6,1,,,,,93,22,2,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,5,5,1,4,0,2,1,,,27,8,4,1,1,0,3,0,,,"samswey: cases resulting in verbally counseling, other discipline or otherwise marked ‘sustained’ counted as complaints upheld. Civil rights complaints = discrimination complaints",samswey,"@yael, I couldn't read the key for the red and yellow lines in here and the same chart was not in document linked to, so couldn't verify any data",,Good,Good,,,,,205,40,12,2,13,1,2,1,,,2016-21,153459
Athens-Clarke County,GA,69,Yes,police-department,GA0290100,270,50,,,,,,,,,2016-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,3,,1,,0,,,,54,5,5,,12,,0,,,,54,9,4,,2,,5,,,,64,18,3,,2,,4,,,,48,14,4,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: sustained numbers appear to be for allegations, don't have total allegation #",alliemonck,"@yael, could not verify # of use of force complaints sustained, also the data on the biased policing complaints appeared wrong but I only saw #s from 2015-2017, whereas the other data includes 2019. also could not verify criminal complaints #s",,"Good - removed sustained #s from different types of complaints, do not have those numbers",Good,,,,,270,50,,,,,,,,,2016-21,128152
Irving,TX,70,Yes,police-department,TX0571500,446,105,20,1,27,0,6,1,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,17,,,,,,,,,,21,,,,,,,,,,66,19,3,1,4,0,1,0,,,61,16,1,0,1,0,1,0,,,72,19,4,0,3,0,1,0,,,112,26,4,0,,,,,,,74,12,3,0,13,0,0,0,,,61,13,5,0,6,0,3,1,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,"@MaryHammond - could not verify use of force, discrimination, or criminal complaints data",,Good,No,,maryhammond - can't locate 2018-19 data based on links in scorecard,"alliemonck - added in screenshots, double check",,446,105,20,1,27,0,6,1,,,2016-21,242976
Clearwater,FL,71,Yes,police-department,FL0520300,157,20,17,0,10,0,2,2,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,13,14,0,6,0,,,,,50,6,2,0,0,0,,,,,10,1,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - could not verify as source doc breaks down in allegations not complaints,,Good - changed most #s,,@MaryHammond,,,,157,20,17,0,10,0,2,2,,,2016-21,117859
Spokane,WA,72,Yes,police-department,WA0320400,521,81,45,0,31,0,20,3,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,8,8,0,4,0,0,0,,,66,11,6,0,6,0,2,2,,,104,27,5,0,6,0,2,0,,,113,12,9,0,3,0,4,0,,,77,14,11,0,6,0,6,1,,,83,9,6,0,6,0,6,0,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck;samswey,@MaryHammond - I came up with large difference in civilian complaints 78 (2016) + 66 (2017) + 74 (2018) = 218; could not verify use of force data as source doc breaks down in allegations not complaints,,Good,Good,,maryhammond - not sure I was counting the same way you were,,,521,81,45,0,31,0,20,3,,,2016-21,223524
Savannah-Chatham Metro,GA,73,Yes,police-department,GA0250300,150,17,15,2,11,0,0,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,58,,,,,,,,,,119,,,,,,,,,,79,,,,,,,,,,71,12,5,,3,0,,,,,79,5,8,1,8,0,,,,,40,,7,1,,,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,alliemonck: no data,alliemonck,@MaryHammond,,Good,Fact-checked individual years @MaryHammond,maryhammond,,,,150,17,15,2,11,0,0,0,,,2016-21,237691
Henderson,NV,74,Yes,police-department,NV0020300,259,29,59,1,25,0,3,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,6,0,6,0,,,,,41,5,13,0,3,0,,,,,42,5,11,0,4,0,,,,,32,2,3,0,4,0,,,,,80,9,21,0,4,0,3,0,,,14,4,5,1,4,0,0,0,,,,,,,,,,,,,alliemonck: no criminal complaints data,alliemonck,"@yael, verified based on data in Google doc since I couldn't get into the database linked to in MuckRock",,Good,Good,,@MaryHammond,,,259,29,59,1,25,0,3,0,,,2016-21,328056
Oklahoma City,OK,75,Yes,police-department,OK0550600,277,93,4,0,8,0,1,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,19,,,,,,,,,52,12,,,,,,,,,25,4,,,,,,,,,55,26,,,,,,,,,48,20,,,,,,,,,45,12,4,0,8,0,1,0,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,"@yael, ""error not found"" on link so could not verify any data @MaryHammond - rechecked but MuckRock data is in allegations; unable to verify data","Removed embargo on muckrock link, needs to be checked",Good,Good,,,,,277,93,4,0,8,0,1,0,,,2016-21,532581
Fort Smith,AR,76,Yes,police-department,AR0660100,129,20,,,,,,,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,1,,,,,,,,,43,7,,,,,,,,,43,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: no 2019 data, no breakdown by type of complaint",alliemonck,"@yael, could not verify use of force numbers. also note that Fort Rock is listed as Arizona in the Google doc but is actually in Arkansas",Removed use of force numbers pending verification,Good,Good,,,,,129,20,,,,,,,,,2016-21,88071
Sioux Falls,SD,77,Yes,police-department,SD0490200,340,34,2,0,1,0,2,0,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,31,3,,,,,,,,,29,4,,,,,,,,,40,10,,,,,,,,,48,4,,,,,,,,,41,5,,,,,,,,,37,4,,,,,,,,,52,1,,,,,,,,,49,1,,,,,,,,,13,2,2,0,1,0,2,0,,,,,,,,,,,,,"alliemonck: no 2019 data, no breakdown by type",alliemonck;samswey,"@yael, could not verify as link only includes 2018 4Q numbers",,Good,Good,maryhammond 2013-15,maryhammond,,,340,34,2,0,1,0,2,0,,,2016-21,156915
Lakeland,FL,78,Yes,police-department,FL0531200,174,43,24,1,12,0,3,2,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,22,,5,,1,,,,,,17,,3,,1,,,,,,12,,1,,0,,,,,,43,11,6,0,6,0,0,0,,,29,5,0,0,1,0,0,0,,,47,12,4,0,3,0,3,0,,,25,8,6,0,0,0,0,0,,,15,2,6,1,2,0,,2,0,,15,5,2,0,0,0,0,0,,,23,4,3,1,0,0,0,0,,,alliemonck: no data,alliemonck; 2013-15 maryhammond; samswey,"@yael, could not verify as there was no ""Lakeland"" in the doc",,Good,Good,,maryhammond,,,174,43,24,1,12,0,3,2,,,2016-21,113876
Peoria,IL,79,Yes,police-department,IL0720700,243,110,13,1,3,0,6,1,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,35,19,3,0,0,0,0,0,,,21,11,1,0,0,0,3,1,,,13,7,3,0,0,0,1,0,,,14,12,0,0,0,0,0,0,,,16,12,1,0,0,0,0,0,,,52,21,2,1,0,0,0,0,,,22,11,0,0,0,0,2,0,,,24,8,3,0,3,0,0,0,,,46,9,,,,,,,,,,,,,,,,,,,"alliemonck: no 2018 or 2019 data, no breakdown by type",alliemonck,"@yael, could not verify because the Peoria listed in the doc was in Illinois, not Arizona",,Fixed - put chart in doc,Good,,maryhammond,,,243,110,13,1,3,0,6,1,,,2016-21,109924
St. Louis,MO,80,Yes,police-department,MOSPD0000,178,9,10,0,13,0,,,,,2016-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,7,0,7,0,,,,,54,2,18,,9,,,,,,57,1,8,,3,,,,,,38,5,3,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,45,20,,,,,,,,,alliemonck: only have data for 2017 and 2018,alliemonck,@MaryHammond,,Good,Good,@MaryHammond,,,,178,9,10,0,13,0,,,,,2016-21,298422
Cedar Rapids,IA,81,Yes,police-department,IA0570100,194,21,26,0,24,0,6,0,,,2015-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,29,2,,,,,,,,,33,6,5,0,6,0,2,0,,,26,2,2,0,1,0,1,0,,,24,2,6,0,3,0,0,0,,,22,4,5,0,3,0,1,0,,,34,5,2,0,9,0,0,0,,,26,0,6,0,2,0,2,0,,,31,1,5,0,3,0,3,0,,,alliemonck: only have total complaints between 2015-2018,alliemonck; samswey (2021),"@yael, could not verify because I couldn't access the article since I've hit my quota",,Good,,,maryhammond,,,194,21,26,0,24,0,6,0,,,2016-21,134330
Anne Arundel County PD,MD,82,Yes,police-department,MD0020200,346,68,93,0,44,8,22,6,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,5,,,,,,,,,33,7,,,,,,,,,39,7,,,,,,,,,132,26,49,0,20,4,12,6,,,89,19,34,0,24,4,6,0,,,19,4,10,0,0,0,4,0,,,46,3,10,0,7,0,3,0,,,alliemonck: 2019-2020 data is by allegation,alliemonck;samswey,@MaryHammond,,Good,Good,,@MaryHammond,,,346,68,93,0,44,8,22,6,,,2016-21,542622
Kissimmee,FL,83,Yes,police-department,FL0490200,152,20,7,1,2,0,9,2,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,5,2,1,0,0,0,2,0,,,3,1,0,0,0,0,0,0,,,6,1,0,0,0,0,1,0,,,8,4,0,0,0,0,4,2,,,8,2,1,0,0,0,2,0,,,5,3,2,1,1,0,0,0,,,5,2,1,0,0,0,0,0,,,4,1,1,0,1,0,0,0,,,108,4,1,0,0,0,0,0,,,,,,,,,,,,,"alliemonck: no 2016 or 2017 data, no breakdown by type",alliemonck,"@yael, could not verify since it's not in the Google doc","Updated in google doc, removed use of force numbers pending verification",Good,Good,,maryhammond,,,152,20,7,1,2,0,9,2,,,2016-21,74337
Springfield,MA,84,Yes,police-department,MA0071800,127,29,120,6,,,,,,,2013-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,20,3,23,0,,,,,,,4,0,17,0,,,,,,,9,3,20,1,,,,,,,17,8,15,2,,,,,,,28,4,17,2,,,,,,,13,2,7,0,,,,,,,22,2,11,0,,,,,,,14,7,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: only have 2018 data, total number is allegations investigated, no breakdown by type",alliemonck;samswey,@MaryHammond,,Good,Good,,,,,127,29,120,6,,,,,,,2016-21,153084
Louisville Metro,KY,85,Yes,police-department,KY0568000,138,38,,,,,,,,,2016-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6,,,,,,,,,30,11,,,,,,,,,48,18,,,,,,,,,44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no breakdown by type,alliemonck,@yael,,Good,Good,,,,,138,38,,,,,,,,,2016-21,673730
North Charleston,SC,86,Yes,police-department,SC0100800,63,24,6,2,2,2,0,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,,,2,2,,,,,12,,,,,,,,,,11,,,,,,,,,,23,,,,,,,,,,9,,,,,,,,,,43,14,6,2,0,0,0,0,,,,,,,,,,,,,"alliemonck: no clear breakdown by year, combined years",alliemonck,"@MaryHammond - I came up with large difference based on p. 7 of NAACP Report (allegations?): total civilian complaints 343, sustained 130; use of force complaints 35. Could not verify use of force sustained data.",,Good - changed to reflect pg. 7 of NAACP report,,,,,,63,24,6,2,2,2,0,0,,,2016-21,93203
Buffalo,NY,87,Yes,police-department,NY0140100,92,5,21,1,,,,,,,2016-16,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,5,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,59,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,alliemonck: only have 2016 data,alliemonck,@MaryHammond,,Good,Good,,@MaryHammond,,,92,5,21,1,,,,,,,2016-21,254627
