"Police Department","State","Concatenated","ORI","2020 Population of Jurisdiciton"
"WHARTON TOWNSHIP POLICE DEPARTMENT FARMINGTON","PA","WHARTON TOWNSHIP POLICE DEPARTMENT FARMINGTONPA","PA0262900",0
"LEWIS TWP POLICE DEPARTMENT TROUT RUN","PA","LEWIS TWP POLICE DEPARTMENT TROUT RUNPA","PA0411600",0
"LYCOMING TWP POLICE DEPARTMENT COGAN STATION","PA","LYCOMING TWP POLICE DEPARTMENT COGAN STATIONPA","PA0411100",0
"WATSON TOWNSHIP POLICE DEPARTMENT","PA","WATSON TOWNSHIP POLICE DEPARTMENTPA","PA0412000",0
"ABBOTTSTOWN POLICE DEPARTMENT/HAMILTON TWP ABBOTTSTOWN","PA","ABBOTTSTOWN POLICE DEPARTMENT/HAMILTON TWP ABBOTTSTOWNPA","PA0011900",0
"HAMILTON TWP POLICE DEPARTMENT NEW OXFORD","PA","HAMILTON TWP POLICE DEPARTMENT NEW OXFORDPA","PA0011700",0
"STRABAN TWP POLICE DEPARTMENT GETTYSBURG","PA","STRABAN TWP POLICE DEPARTMENT GETTYSBURGPA","PA0010900",0
"WEST CAMERON TOWNSHIP POLICE DEPARTMENT","PA","WEST CAMERON TOWNSHIP POLICE DEPARTMENTPA","PA0491500",0
"NORTHWEST LAWRENCE CO. REGIONAL POLICE DEPARTMENT","PA","NORTHWEST LAWRENCE CO. REGIONAL POLICE DEPARTMENTPA","-1",0
"TAYLOR TWP POLICE DEPARTMENT WEST PITTSBURGH","PA","TAYLOR TWP POLICE DEPARTMENT WEST PITTSBURGHPA","PA0371600",0
"CONNEAUT TWP  POLICE DEPARTMENT","PA","CONNEAUT TWP  POLICE DEPARTMENTPA","PA0201300",0
"BURRELL TOWNSHIP POLICE DEPARTMENT BLACK LICK","PA","BURRELL TOWNSHIP POLICE DEPARTMENT BLACK LICKPA","PA0321400",0
"BURRELL TOWNSHIP POLICE DEPARTMENT BLACK LICK","PA","BURRELL TOWNSHIP POLICE DEPARTMENT BLACK LICKPA","PA0321800",0
"CANOE TOWNSHIP POLICE DEPARTMENT ROSSITER","PA","CANOE TOWNSHIP POLICE DEPARTMENT ROSSITERPA","PA0321700",0
"CENTER TWP POLICE DEPARTMENT HOMER CITY","PA","CENTER TWP POLICE DEPARTMENT HOMER CITYPA","PA0321200",0
"YOUNG TWP POLICE DEPARTMENT SHELOCTA","PA","YOUNG TWP POLICE DEPARTMENT SHELOCTAPA","PA0321300",0
"BIGLER TOWNSHIP POLICE DEPARTMENT","PA","BIGLER TOWNSHIP POLICE DEPARTMENTPA","PA0170400",0
"BURNSIDE TOWNSHIP POLICE DEPARTMENT","PA","BURNSIDE TOWNSHIP POLICE DEPARTMENTPA","PA0172000",0
"PIKE TWP POLICE DEPARTMENT CURWENSVILLE","PA","PIKE TWP POLICE DEPARTMENT CURWENSVILLEPA","PA0171500",0
"WOODWARD TWP POLICE DEPARTMENT BRISBIN","PA","WOODWARD TWP POLICE DEPARTMENT BRISBINPA","PA0171000",0
"BURRELL TWP POLICE DEPARTMENT FORD CITY","PA","BURRELL TWP POLICE DEPARTMENT FORD CITYPA","PA0032600",0
"PINE TOWNSHIP POLICE DEPARTMENT","PA","PINE TOWNSHIP POLICE DEPARTMENTPA","PA0033000",0
"PINE TWP POLICE DEPARTMENT TEMPLETON","PA","PINE TWP POLICE DEPARTMENT TEMPLETONPA","PA0032700",0
"RAYBURN TWP POLICE DEPARTMENT KITTANNING","PA","RAYBURN TWP POLICE DEPARTMENT KITTANNINGPA","PA0031600",0
"CLEVELAND TWP POLICE DEPARTMENT ELYSBURG","PA","CLEVELAND TWP POLICE DEPARTMENT ELYSBURGPA","PA0192100",0
"BANKS TWP POLICE DEPARTMENT BEAVER MEADOWS","PA","BANKS TWP POLICE DEPARTMENT BEAVER MEADOWSPA","PA0131300",0
"MONROE TOWNSHIP POLICE DEPARTMENT TOWANDA","PA","MONROE TOWNSHIP POLICE DEPARTMENT TOWANDAPA","PA0081600",0
"MONROETON POLICE DEPARTMENT","PA","MONROETON POLICE DEPARTMENTPA","PA0081400",0
"RIDGEBURY TWP POLICE DEPARTMENT GILLETT","PA","RIDGEBURY TWP POLICE DEPARTMENT GILLETTPA","PA0080900",0
"SMITHFIELD TWP POLICE DEPARTMENT EAST SMITHFIELD","PA","SMITHFIELD TWP POLICE DEPARTMENT EAST SMITHFIELDPA","PA0081300",0
"SOUTH CREEK TWP POLICE DEPARTMENT GILLETT","PA","SOUTH CREEK TWP POLICE DEPARTMENT GILLETTPA","PA0081500",0
"SPRINGFIELD TWP POLICE DEPARTMENT DALLASTOWN","PA","SPRINGFIELD TWP POLICE DEPARTMENT DALLASTOWNPA","PA0674200",0
"WYALUSING POLICE DEPARTMENT","PA","WYALUSING POLICE DEPARTMENTPA","PA0081000",0
"WESTFALL TOWNSHIP POLICE DEPARTMENT","PA","WESTFALL TOWNSHIP POLICE DEPARTMENTPA","-1",0
"SANDYCREEK TWP POLICE DEPARTMENT FRANKLIN","PA","SANDYCREEK TWP POLICE DEPARTMENT FRANKLINPA","PA0610700",0
"CANAAN TWP POLICE DEPARTMENT WAYMART","PA","CANAAN TWP POLICE DEPARTMENT WAYMARTPA","PA0640800",0
"DAMASCUS POLICE DEPARTMENT","PA","DAMASCUS POLICE DEPARTMENTPA","PA0640900",0
"JEFFERSON TWP POLICE DEPARTMENT LAKE ARIEL","PA","JEFFERSON TWP POLICE DEPARTMENT LAKE ARIELPA","PA0640700",0
"BLOOMFIELD TWP  POLICE DEPARTMENT","PA","BLOOMFIELD TWP  POLICE DEPARTMENTPA","PA0201200",0
"MENNO TWP POLICE DEPARTMENT BELLEVILLE","PA","MENNO TWP POLICE DEPARTMENT BELLEVILLEPA","PA0440400",0
"CENTRE TWP POLICE DEPARTMENT MOHRSVILLE","PA","CENTRE TWP POLICE DEPARTMENT MOHRSVILLEPA","PA0063300",0
"GREENWOOD TWP POLICE DEPARTMENT MILLERSTOWN","PA","GREENWOOD TWP POLICE DEPARTMENT MILLERSTOWNPA","PA0500800",0
"HARTLEY TOWNSHIP POLICE DEPARTMENT LAURELTON","PA","HARTLEY TOWNSHIP POLICE DEPARTMENT LAURELTONPA","PA0600500",0
"CORYDON TOWNSHIP POLICE DEPARTMENT BRADFORD","PA","CORYDON TOWNSHIP POLICE DEPARTMENT BRADFORDPA","PA0421600",0
"HAMILTON TOWNSHIP POLICE DEPARTMENT LUDLOW","PA","HAMILTON TOWNSHIP POLICE DEPARTMENT LUDLOWPA","PA0421400",0
"HAMILTON TOWNSHIP POLICE DEPARTMENT LUDLOW","PA","HAMILTON TOWNSHIP POLICE DEPARTMENT LUDLOWPA","PA0420900",0
"OTTO TWP POLICE DEPARTMENT DUKE CENTER","PA","OTTO TWP POLICE DEPARTMENT DUKE CENTERPA","PA0421000",0
"LATHROP TOWNSHIP POLICE DEPARTMENT NICHOLSON","PA","LATHROP TOWNSHIP POLICE DEPARTMENT NICHOLSONPA","PA0581400",0
"NE SUSQUEHANNA COUNTY REGIONAL POLICE DEPARTMENT HALLSTEAD","PA","NE SUSQUEHANNA COUNTY REGIONAL POLICE DEPARTMENT HALLSTEADPA","PA0581700",0
"CLYMER TWP POLICE DEPARTMENT WESTFIELD","PA","CLYMER TWP POLICE DEPARTMENT WESTFIELDPA","PA0591300",0
"DELMAR TWP POLICE DEPARTMENT WELLSBORO","PA","DELMAR TWP POLICE DEPARTMENT WELLSBOROPA","PA0591000",0
"HAMILTON TOWNSHIP POLICE DEPARTMENT MORRIS RUN","PA","HAMILTON TOWNSHIP POLICE DEPARTMENT MORRIS RUNPA","PA0591600",0
"OSCEOLA POLICE DEPARTMENT","PA","OSCEOLA POLICE DEPARTMENTPA","PA0170900",0
"PINE TWP  POLICE DEPARTMENT","PA","PINE TWP  POLICE DEPARTMENTPA","PA0431600",0
"SHIPPEN TOWNSHIP POLICE DEPARTMENT WELLSBORO","PA","SHIPPEN TOWNSHIP POLICE DEPARTMENT WELLSBOROPA","PA0591500",0
"CENTRE TOWNSHIP POLICE DEPARTMENT MIDDLEBURG","PA","CENTRE TOWNSHIP POLICE DEPARTMENT MIDDLEBURGPA","PA0550500",0
"ELK TWP POLICE DEPARTMENT RUSSELL","PA","ELK TWP POLICE DEPARTMENT RUSSELLPA","PA0621100",0
"SUGARGROVE POLICE DEPARTMENT","PA","SUGARGROVE POLICE DEPARTMENTPA","PA0620400",0
"ALLISON TWP POLICE DEPARTMENT LOCK HAVEN","PA","ALLISON TWP POLICE DEPARTMENT LOCK HAVENPA","PA0182000",0
"BALD EAGLE TOWNSHIP POLICE DEPARTMENT MILL HALL","PA","BALD EAGLE TOWNSHIP POLICE DEPARTMENT MILL HALLPA","PA0181800",0
"BEECHCREEK TOWNSHIP POLICE DEPARTMENT BEECH CREEK","PA","BEECHCREEK TOWNSHIP POLICE DEPARTMENT BEECH CREEKPA","PA0181300",0
"CHAPMAN TOWNSHIP POLICE DEPARTMENT NORTH BEND","PA","CHAPMAN TOWNSHIP POLICE DEPARTMENT NORTH BENDPA","PA0181700",0
"PORTER TWP POLICE DEPARTMENT LAMAR","PA","PORTER TWP POLICE DEPARTMENT LAMARPA","PA0181400",0
"PERRY TOWNSHIP POLICE DEPARTMENT PARKER","PA","PERRY TOWNSHIP POLICE DEPARTMENT PARKERPA","PA0160900",0
"REDBANK TWP POLICE DEPARTMENT CLARION","PA","REDBANK TWP POLICE DEPARTMENT CLARIONPA","PA0160800",0
"EXETER TWP POLICE DEPARTMENT FALLS","PA","EXETER TWP POLICE DEPARTMENT FALLSPA","PA0661000",0
"NOXEN TWP POLICE DEPARTMENT NOXEN","PA","NOXEN TWP POLICE DEPARTMENT NOXENPA","PA0661300",0
"WINDHAM TWP POLICE DEPARTMENT LACEYVILLE","PA","WINDHAM TWP POLICE DEPARTMENT LACEYVILLEPA","PA0660700",0
"MILFORD TNSHP POLICE DEPARTMENT MOUNT PLEASANT MILLS","PA","MILFORD TNSHP POLICE DEPARTMENT MOUNT PLEASANT MILLSPA","PA0341000",0
"SPRUCE HILL TOWNSHIP POLICE DEPARTMENT","PA","SPRUCE HILL TOWNSHIP POLICE DEPARTMENTPA","PA0340200",0
"SUSQUEHANNA TOWNSHIP POLICE DEPARTMENT MOUNT PLEASANT MILLS","PA","SUSQUEHANNA TOWNSHIP POLICE DEPARTMENT MOUNT PLEASANT MILLSPA","PA0341100",0
"WALKER TWP POLICE DEPARTMENT MIFFLINTOWN","PA","WALKER TWP POLICE DEPARTMENT MIFFLINTOWNPA","PA0340800",0
"ABBOTT TOWNSHIP POLICE DEPARTMENT GALETON","PA","ABBOTT TOWNSHIP POLICE DEPARTMENT GALETONPA","PA0531200",0
"GENESEE TWP POLICE DEPARTMENT GENESEE","PA","GENESEE TWP POLICE DEPARTMENT GENESEEPA","PA0530700",0
"HARRISON TWP POLICE DEPARTMENT HARRISON VALLEY","PA","HARRISON TWP POLICE DEPARTMENT HARRISON VALLEYPA","PA0531000",0
"PIKE TOWNSHIP POLICE DEPARTMENT","PA","PIKE TOWNSHIP POLICE DEPARTMENTPA","PA0065100",0
"PORTAGE TOWNSHIP POLICE DEPARTMENT AUSTIN","PA","PORTAGE TOWNSHIP POLICE DEPARTMENT AUSTINPA","PA0530900",0
"WEST BRANCH TOWNSHIP POLICE DEPARTMENT GALETON","PA","WEST BRANCH TOWNSHIP POLICE DEPARTMENT GALETONPA","PA0531100",0
"JENKS TOWNSHIP POLICE DEPARTMENT","PA","JENKS TOWNSHIP POLICE DEPARTMENTPA","PA0270100",0
"PAWTUCKET POLICE DEPARTMENT","RI","PAWTUCKET POLICE DEPARTMENTRI","RI1040800",0
"PROVIDENCE POLICE DEPARTMENT","RI","PROVIDENCE POLICE DEPARTMENTRI","RI1040900",0
"PROVIDENCE POLICE DEPARTMENT","RI","PROVIDENCE POLICE DEPARTMENTRI","RI2040900",0
"PROVIDENCE POLICE DEPARTMENT","RI","PROVIDENCE POLICE DEPARTMENTRI","RI3040900",0
"PROVIDENCE POLICE DEPARTMENT","RI","PROVIDENCE POLICE DEPARTMENTRI","RI4040900",0
"PROVIDENCE POLICE DEPARTMENT","RI","PROVIDENCE POLICE DEPARTMENTRI","RI5040900",0
"KERSHAW POLICE DEPARTMENT","SC","KERSHAW POLICE DEPARTMENTSC","SC0280300",0
"TOWN OF ROWESVILLE POLICE DEPARTMENT","SC","TOWN OF ROWESVILLE POLICE DEPARTMENTSC","SC0381600",0
"PUBLIC SAFETY DEPARTMENT PEE DEE REG CTR FLORENCE","SC","PUBLIC SAFETY DEPARTMENT PEE DEE REG CTR FLORENCESC","SC0211100",0
"NORTH CHARLESTON POLICE DEPARTMENT","SC","NORTH CHARLESTON POLICE DEPARTMENTSC","SC0101800",0
"COLUMBIA POLICE DEPARTMENT","SD","COLUMBIA POLICE DEPARTMENTSD","SD0060400",0
"ASTORIA POLICE DEPARTMENT","SD","ASTORIA POLICE DEPARTMENTSD","SD0190200",0
"HOSMER POLICE DEPARTMENT","SD","HOSMER POLICE DEPARTMENTSD","SD0220300",0
"WILLOW LAKE POLICE DEPARTMENT","SD","WILLOW LAKE POLICE DEPARTMENTSD","SD0120200",0
"RAYMOND POLICE DEPARTMENT","SD","RAYMOND POLICE DEPARTMENTSD","SD0120300",0
"HERREID POLICE DEPARTMENT","SD","HERREID POLICE DEPARTMENTSD","SD0100100",0
"EMERY POLICE DEPARTMENT","SD","EMERY POLICE DEPARTMENTSD","SD0300200",0
"ALEXANDRIA POLICE DEPARTMENT","SD","ALEXANDRIA POLICE DEPARTMENTSD","SD0300100",0
"IROQUOIS POLICE DEPARTMENT","SD","IROQUOIS POLICE DEPARTMENTSD","SD0380300",0
"HENRY POLICE DEPARTMENT","SD","HENRY POLICE DEPARTMENTSD","SD0140200",0
"DE SMET POLICE DEPARTMENT","SD","DE SMET POLICE DEPARTMENTSD","SD0380100",0
"CONDE POLICE DEPARTMENT","SD","CONDE POLICE DEPARTMENTSD","SD0570200",0
"HUMBOLDT POLICE DEPARTMENT","SD","HUMBOLDT POLICE DEPARTMENTSD","SD0490700",0
"HUDSON POLICE DEPARTMENT","SD","HUDSON POLICE DEPARTMENTSD","SD0410400",0
"FAIRFAX POLICE DEPARTMENT","SD","FAIRFAX POLICE DEPARTMENTSD","SD0260500",0
"CLAREMONT POLICE DEPARTMENT","SD","CLAREMONT POLICE DEPARTMENTSD","SD0060300",0
"BOWDLE POLICE DEPARTMENT","SD","BOWDLE POLICE DEPARTMENTSD","SD0220200",0
"FREDERICK POLICE DEPARTMENT","SD","FREDERICK POLICE DEPARTMENTSD","SD0060500",0
"TORONTO POLICE DEPARTMENT","SD","TORONTO POLICE DEPARTMENTSD","SD0190400",0
"MARION POLICE DEPARTMENT","SD","MARION POLICE DEPARTMENTSD","SD0620500",0
"VOLGA POLICE DEPARTMENT","SD","VOLGA POLICE DEPARTMENTSD","SD0050400",0
"COLTON POLICE DEPARTMENT","SD","COLTON POLICE DEPARTMENTSD","SD0490400",0
"LAKE PRESTON POLICE DEPARTMENT","SD","LAKE PRESTON POLICE DEPARTMENTSD","SD0380400",0
"CANOVA POLICE DEPARTMENT","SD","CANOVA POLICE DEPARTMENTSD","SD0480200",0
"ROSLYN POLICE DEPARTMENT","SD","ROSLYN POLICE DEPARTMENTSD","SD0180300",0
"BISON POLICE DEPARTMENT","SD","BISON POLICE DEPARTMENTSD","SD0520200",0
"MIDLAND POLICE DEPARTMENT","SD","MIDLAND POLICE DEPARTMENTSD","SD0270200",0
"GARY POLICE DEPARTMENT","SD","GARY POLICE DEPARTMENTSD","SD0190300",0
"SPENCER POLICE DEPARTMENT","SD","SPENCER POLICE DEPARTMENTSD","SD0430500",0
"STICKNEY POLICE DEPARTMENT","SD","STICKNEY POLICE DEPARTMENTSD","SD0010200",0
"DALLAS POLICE DEPARTMENT","SD","DALLAS POLICE DEPARTMENTSD","SD0260400",0
"LAKE NORDEN POLICE DEPARTMENT LAKE NORDEN","SD","LAKE NORDEN POLICE DEPARTMENT LAKE NORDENSD","SD0280500",0
"WESSINGTON SPRINGS POLICE DEPARTMENT","SD","WESSINGTON SPRINGS POLICE DEPARTMENTSD","SD0360100",0
"ROSCOE POLICE DEPARTMENT","SD","ROSCOE POLICE DEPARTMENTSD","SD0220400",0
"VALLEY SPRINGS POLICE DEPARTMENT","SD","VALLEY SPRINGS POLICE DEPARTMENTSD","SD0490800",0
"WHITE LAKE POLICE DEPARTMENT","SD","WHITE LAKE POLICE DEPARTMENTSD","SD0010300",0
"CLEAR LAKE POLICE DEPARTMENT","SD","CLEAR LAKE POLICE DEPARTMENTSD","SD0190100",0
"LETCHER POLICE DEPARTMENT","SD","LETCHER POLICE DEPARTMENTSD","SD0550200",0
"LESTERVILLE POLICE DEPARTMENT","SD","LESTERVILLE POLICE DEPARTMENTSD","SD0660200",0
"ONIDA POLICE DEPARTMENT","SD","ONIDA POLICE DEPARTMENTSD","SD0590100",0
"PRESHO POLICE DEPARTMENT","SD","PRESHO POLICE DEPARTMENTSD","SD0420100",0
"IPSWICH POLICE DEPARTMENT","SD","IPSWICH POLICE DEPARTMENTSD","SD0220100",0
"BRUCE POLICE DEPARTMENT","SD","BRUCE POLICE DEPARTMENTSD","SD0050200",0
"CUSTER POLICE DEPARTMENT","SD","CUSTER POLICE DEPARTMENTSD","SD0160100",0
"WHITE POLICE DEPARTMENT","SD","WHITE POLICE DEPARTMENTSD","SD0050500",0
"HAYTI POLICE DEPARTMENT","SD","HAYTI POLICE DEPARTMENTSD","SD0280400",0
"PUKWANA POLICE DEPARTMENT","SD","PUKWANA POLICE DEPARTMENTSD","SD0070300",0
"BIG STONE CITY POLICE DEPARTMENT","SD","BIG STONE CITY POLICE DEPARTMENTSD","SD0250200",0
"BRITTON POLICE DEPARTMENT","SD","BRITTON POLICE DEPARTMENTSD","SD0450100",0
"HOWARD POLICE DEPARTMENT","SD","HOWARD POLICE DEPARTMENTSD","SD0480100",0
"CARTHAGE POLICE DEPARTMENT","SD","CARTHAGE POLICE DEPARTMENTSD","SD0480300",0
"HECLA POLICE DEPARTMENT","SD","HECLA POLICE DEPARTMENTSD","SD0060600",0
"VIENNA POLICE DEPARTMENT","SD","VIENNA POLICE DEPARTMENTSD","SD0120400",0
"KENNEBEC POLICE DEPARTMENT","SD","KENNEBEC POLICE DEPARTMENTSD","SD0420300",0
"BRISTOL POLICE DEPARTMENT","SD","BRISTOL POLICE DEPARTMENTSD","SD0180200",0
"GEDDES POLICE DEPARTMENT","SD","GEDDES POLICE DEPARTMENTSD","SD0110500",0
"EDGEMONT POLICE DEPARTMENT","SD","EDGEMONT POLICE DEPARTMENTSD","SD0230100",0
"RELIANCE POLICE DEPARTMENT","SD","RELIANCE POLICE DEPARTMENTSD","SD0420400",0
"WOOD POLICE DEPARTMENT","SD","WOOD POLICE DEPARTMENTSD","SD0470200",0
"TABOR POLICE DEPARTMENT","SD","TABOR POLICE DEPARTMENTSD","SD0040500",0
"NISLAND POLICE DEPARTMENT","SD","NISLAND POLICE DEPARTMENTSD","SD0090300",0
"WALL POLICE DEPARTMENT","SD","WALL POLICE DEPARTMENTSD","SD0510200",0
"SIOUX FALLS POLICE DEPARTMENT CRIME LAB LATENT UNIT","SD","SIOUX FALLS POLICE DEPARTMENT CRIME LAB LATENT UNITSD","SD0490900",0
"HERRICK POLICE DEPARTMENT","SD","HERRICK POLICE DEPARTMENTSD","SD0260600",0
"PLANKINTON POLICE DEPARTMENT","SD","PLANKINTON POLICE DEPARTMENTSD","SD0010100",0
"RAPID CITY POLICE DEPARTMENT","SD","RAPID CITY POLICE DEPARTMENTSD","SD0510600",0
"HILL CITY POLICE DEPARTMENT HILL CITY","SD","HILL CITY POLICE DEPARTMENT HILL CITYSD","SD0510500",0
"JAVA POLICE DEPARTMENT","SD","JAVA POLICE DEPARTMENTSD","SD0640300",0
"COLOME POLICE DEPARTMENT","SD","COLOME POLICE DEPARTMENTSD","SD0610200",0
"KEYSTONE POLICE DEPARTMENT KEYSTONE","SD","KEYSTONE POLICE DEPARTMENT KEYSTONESD","SD0510400",0
"ISABEL POLICE DEPARTMENT ISABEL","SD","ISABEL POLICE DEPARTMENT ISABELSD","SD0200300",0
"SUMMIT POLICE DEPARTMENT","SD","SUMMIT POLICE DEPARTMENTSD","SD0540500",0
"WHITE RIVER POLICE DEPARTMENT","SD","WHITE RIVER POLICE DEPARTMENTSD","SD0470100",0
"DUPREE POLICE DEPARTMENT","SD","DUPREE POLICE DEPARTMENTSD","SD0670100",0
"MISSION POLICE DEPARTMENT","SD","MISSION POLICE DEPARTMENTSD","SD0600100",0
"FAULKTON POLICE DEPARTMENT","SD","FAULKTON POLICE DEPARTMENTSD","SD0240100",0
"KNOX COUNTY PARK POLICE DEPARTMENT KNOXVILLE","TN","KNOX COUNTY PARK POLICE DEPARTMENT KNOXVILLETN","TN0470200",0
"NASHVILLE METRO POLICE DEPARTMENT","TN","NASHVILLE METRO POLICE DEPARTMENTTN","TN0193900",0
"NASHVILLE METRO POLICE DEPARTMENT","TN","NASHVILLE METRO POLICE DEPARTMENTTN","TN0192700",0
"NASHVILLE METRO POLICE DEPARTMENT","TN","NASHVILLE METRO POLICE DEPARTMENTTN","TN0192800",0
"NASHVILLE METRO POLICE DEPARTMENT","TN","NASHVILLE METRO POLICE DEPARTMENTTN","TN0192900",0
"NASHVILLE METRO POLICE DEPARTMENT","TN","NASHVILLE METRO POLICE DEPARTMENTTN","TN0193600",0
"NASHVILLE METRO POLICE DEPARTMENT","TN","NASHVILLE METRO POLICE DEPARTMENTTN","TN0193700",0
"NASHVILLE METRO POLICE DEPARTMENT","TN","NASHVILLE METRO POLICE DEPARTMENTTN","TN0193800",0
"NASHVILLE METRO POLICE DEPARTMENT","TN","NASHVILLE METRO POLICE DEPARTMENTTN","TN0196000",0
"NASHVILLE METRO POLICE DEPARTMENT WARRANTS DIVISION","TN","NASHVILLE METRO POLICE DEPARTMENT WARRANTS DIVISIONTN","TN0192400",0
"NASHVILLE METROPOLITAN POLICE DEPARTMENT","TN","NASHVILLE METROPOLITAN POLICE DEPARTMENTTN","TN0193500",0
"FLINTVILLE POLICE DEPARTMENT","TN","FLINTVILLE POLICE DEPARTMENTTN","TN0520200",0
"GREENBACK POLICE DEPARTMENT","TN","GREENBACK POLICE DEPARTMENTTN","TN0530300",0
"TENNESSEE RIDGE POLICE DEPARTMENT","TN","TENNESSEE RIDGE POLICE DEPARTMENTTN","TN0420200",0
"BYRDSTOWN POLICE DEPARTMENT","TN","BYRDSTOWN POLICE DEPARTMENTTN","TN0690100",0
"DUCKTOWN POLICE DEPARTMENT","TN","DUCKTOWN POLICE DEPARTMENTTN","TN0700300",0
"SARDIS POLICE DEPARTMENT","TN","SARDIS POLICE DEPARTMENTTN","TN0390300",0
"LOBELVILLE POLICE DEPARTMENT","TN","LOBELVILLE POLICE DEPARTMENTTN","TN0680200",0
"FINGER POLICE DEPARTMENT","TN","FINGER POLICE DEPARTMENTTN","TN0550600",0
"HORNSBY POLICE DEPARTMENT","TN","HORNSBY POLICE DEPARTMENTTN","TN0350400",0
"FORT DONELSON POLICE DEPARTMENT DOVER","TN","FORT DONELSON POLICE DEPARTMENT DOVERTN","TN0810100",0
"MEDON POLICE DEPARTMENT MEDON","TN","MEDON POLICE DEPARTMENT MEDONTN","TN0570400",0
"YORKVILLE POLICE DEPARTMENT","TN","YORKVILLE POLICE DEPARTMENTTN","TN0271000",0
"MONTEAGLE POLICE DEPARTMENT","TN","MONTEAGLE POLICE DEPARTMENTTN","TN0580400",0
"HENDERSONVILLE POLICE DEPARTMENT LATENT","TN","HENDERSONVILLE POLICE DEPARTMENT LATENTTN","TN0831400",0
"ORLINDA POLICE DEPARTMENT","TN","ORLINDA POLICE DEPARTMENTTN","TN0740500",0
"LINDEN POLICE DEPARTMENT","TN","LINDEN POLICE DEPARTMENTTN","TN0680100",0
"COALMONT POLICE DEPARTMENT COALMONT","TN","COALMONT POLICE DEPARTMENT COALMONTTN","TN0310500",0
"SEVIERVILLE POLICE DEPARTMENT","TN","SEVIERVILLE POLICE DEPARTMENTTN","TN0780600",0
"BELL BUCKLE POLICE DEPARTMENT","TN","BELL BUCKLE POLICE DEPARTMENTTN","TN0020300",0
"ARLINGTON POLICE DEPARTMENT","TN","ARLINGTON POLICE DEPARTMENTTN","TN0790700",0
"OAK RIDGE POLICE DEPARTMENT","TN","OAK RIDGE POLICE DEPARTMENTTN","TN0010700",0
"ALCOA POLICE DEPARTMENT","TN","ALCOA POLICE DEPARTMENTTN","TN0050900",0
"GALLATIN POLICE DEPARTMENT","TN","GALLATIN POLICE DEPARTMENTTN","TN0831200",0
"KNOXVILLE POLICE DEPARTMENT","TN","KNOXVILLE POLICE DEPARTMENTTN","TN0471300",0
"MC LEMORESVILLE POLICE DEPARTMENT","TN","MC LEMORESVILLE POLICE DEPARTMENTTN","TN0090500",0
"MORRISTOWN POLICE DEPARTMENT LATENT","TN","MORRISTOWN POLICE DEPARTMENT LATENTTN","TN0320500",0
"RAMER POLICE DEPARTMENT RAMER","TN","RAMER POLICE DEPARTMENT RAMERTN","TN0550500",0
"COLUMBIA POLICE DEPARTMENT LATENT","TN","COLUMBIA POLICE DEPARTMENT LATENTTN","TN0600700",0
"HICKORY VALLEY POLICE DEPARTMENT","TN","HICKORY VALLEY POLICE DEPARTMENTTN","TN0350600",0
"MURFREESBORO POLICE DEPARTMENT","TN","MURFREESBORO POLICE DEPARTMENTTN","TN0750600",0
"CHATTANOOGA POLICE DEPARTMENT","TN","CHATTANOOGA POLICE DEPARTMENTTN","TN0332200",0
"CHATTANOOGA POLICE DEPARTMENT","TN","CHATTANOOGA POLICE DEPARTMENTTN","TN0332400",0
"CHATTANOOGA POLICE DEPARTMENT","TN","CHATTANOOGA POLICE DEPARTMENTTN","TN0332500",0
"CHATTANOOGA POLICE DEPARTMENT","TN","CHATTANOOGA POLICE DEPARTMENTTN","TN0332600",0
"JACKSON POLICE DEPARTMENT","TN","JACKSON POLICE DEPARTMENTTN","TN0571200",0
"RIPLEY POLICE DEPARTMENT LATENT","TN","RIPLEY POLICE DEPARTMENT LATENTTN","TN0490700",0
"STANTON POLICE DEPARTMENT","TN","STANTON POLICE DEPARTMENTTN","TN0380200",0
"BNDD MEMPHIS","TN","BNDD MEMPHISTN","TNBNDME00",0
"MEMPHIS POLICE DEPARTMENT","TN","MEMPHIS POLICE DEPARTMENTTN","TNMPD0300",0
"MEMPHIS POLICE DEPARTMENT","TN","MEMPHIS POLICE DEPARTMENTTN","TNMPD0400",0
"MEMPHIS POLICE DEPARTMENT","TN","MEMPHIS POLICE DEPARTMENTTN","TNMPD0500",0
"MEMPHIS POLICE DEPARTMENT","TN","MEMPHIS POLICE DEPARTMENTTN","TNMPD0600",0
"MEMPHIS POLICE DEPARTMENT TERMINAL 3","TN","MEMPHIS POLICE DEPARTMENT TERMINAL 3TN","TNMPD0200",0
"MEMPHIS POLICE DEPARTMENT TRAINING ACADEMY","TN","MEMPHIS POLICE DEPARTMENT TRAINING ACADEMYTN","TNMPD0100",0
"RED BANK-WHITE OAK POLICE DEPARTMENT CHATTANOOGA","TN","RED BANK-WHITE OAK POLICE DEPARTMENT CHATTANOOGATN","TN0330400",0
"MIDDLEBURG POLICE DEPARTMENT","TN","MIDDLEBURG POLICE DEPARTMENTTN","TN0390400",0
"TODD MISSION POLICE DEPARTMENT","TX","TODD MISSION POLICE DEPARTMENTTX","-1",0
"KENEFICK POLICE DEPARTMENT","TX","KENEFICK POLICE DEPARTMENTTX","TX1461500",0
"ROARING SPRINGS POLICE DEPARTMENT","TX","ROARING SPRINGS POLICE DEPARTMENTTX","TX1730100",0
