"Police Department","State","ORI","Data Entered?","Population","Use of Force Source Link","2013 Firearm Discharged at Person","2014 Firearm Discharged at Person","2015 Firearm Discharged at Person","2016 Firearm Discharged at Person","2017 Firearm Discharged at Person","2018 Firearm Discharged at Person","2019 Firearm Discharged at Person","2020 Firearm Discharged at Person","2021 Firearm Discharged at Person","2022 Firearm Discharged at Person","2013 Taser (also sometimes called Electronic Control Weapons or ECW)","2014 Taser (also sometimes called Electronic Control Weapons or ECW)","2015 Taser (also sometimes called Electronic Control Weapons or ECW)","2016 Taser (also sometimes called Electronic Control Weapons or ECW)","2017 Taser (also sometimes called Electronic Control Weapons or ECW)","2018 Taser (also sometimes called Electronic Control Weapons or ECW)","2019 Taser (also sometimes called Electronic Control Weapons or ECW)","2020 Taser (also sometimes called Electronic Control Weapons or ECW)","2021 Taser (also sometimes called Electronic Control Weapons or ECW)","2022 Taser (also sometimes called Electronic Control Weapons or ECW)","Are taser uses separated into two or more categories (for example, taser probes vs taser drive stuns)? (Put Yes or No)","2013 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2014 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2015 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2016 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2017 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2018 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2019 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2020 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2021 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2022 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","Categories counted in impact weapon tally","2013 Carotid Restraints (also sometimes called Carotid Control Holds)","2014 Carotid Restraints (also sometimes called Carotid Control Holds)","2015 Carotid Restraints (also sometimes called Carotid Control Holds)","2016 Carotid Restraints (also sometimes called Carotid Control Holds)","2017 Carotid Restraints (also sometimes called Carotid Control Holds)","2018 Carotid Restraints (also sometimes called Carotid Control Holds)","2019 Carotid Restraints (also sometimes called Carotid Control Holds)","2020 Carotid Restraints (also sometimes called Carotid Control Holds)","2021 Carotid Restraints (also sometimes called Carotid Control Holds)","2022 Carotid Restraints (also sometimes called Carotid Control Holds)","2013 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2014 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2015 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2016 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2017 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2018 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2019 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2020 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2021 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2022 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2013 K-9 deployments","2014 K-9 deployments","2015 K-9 deployments","2016 K-9 deployments","2017 K-9 deployments","2018 K-9 deployments","2019 K-9 deployments","2020 K-9 deployments","2021 K-9 deployments","2022 K-9 deployments","Total Use of Force Incidents 2013","Total Use of Force Incidents 2014","Total Use of Force Incidents 2015","Total Use of Force Incidents 2016","Total Use of Force Incidents 2017","Total Use of Force Incidents 2018","Total Use of Force Incidents 2019","Total Use of Force Incidents 2020","Total Use of Force Incidents 2021","Total Use of Force Incidents 2022","2013 Total ""Less Lethal Force""","2014 Total ""Less Lethal Force""","2015 Total ""Less Lethal Force""","2016 Total ""Less Lethal Force""","2017 Total ""Less Lethal Force""","2018 Total ""Less Lethal Force""","2019 Total ""Less Lethal Force""","Total_Less_lethal_force_2020","2021 Total ""Less Lethal Force""","2022 Total ""Less Lethal Force""","Individualized w/ officer names","Notes/Comments","Slack handle of person inputting the data","FINAL CHECK","Data checked?","Responses to factchecking","Response to response","Response to response to response","2021 Response","2021 Response to Response","Fact-Checked by","Use of Force Documentation (2013 LEMAS)","Officer or Incident Based Reporting (2013 LEMAS)","Force Types Required to be Reported (2013 LEMAS)","Total Use of Force Incidents 2012 (LEMAS)","Total Use of Force Reports 2012 (LEMAS)","Reportable Force Types (2016 LEMAS)","Reportable Force Types (Updated)","Use of Force Documentation Used (Updated)","Officer or Incident Based Reporting Used (DRAFT Revision)","Review Incident/Officer Based Reporting"
"Jackson Police Department","OH","OH0400100","Yes",6211,"https://dpsoibrspext.azurewebsites.net/UOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baton, Bean Bag, Other Impact Projectile, Flashlight or Other Blunt Instrument Used, Other Police Weapon (non-firearm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Solvay Village Police Department","NY","NY0332600","Yes",6196,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,0,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,4,14,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14,NA,NA,NA,NA,NA,NA,NA,NA,10,14,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Port Clinton Police Department","OH","OH0620200","Yes",6159,"https://dpsoibrspext.azurewebsites.net/UOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Baton, Bean Bag, Other Impact Projectile, Flashlight or Other Blunt Instrument Used, Other Police Weapon (non-firearm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Eastampton Township Police","NJ","NJ0031100","Yes",6156,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Carlstadt Police","NJ","NJ0020500","Yes",6126,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Larchmont Village Police Department","NY","NY0592900","Yes",6112,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Ontario Police Department","OH","OH0700200","Yes",6068,"https://dpsoibrspext.azurewebsites.net/UOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baton, Bean Bag, Other Impact Projectile, Flashlight or Other Blunt Instrument Used, Other Police Weapon (non-firearm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Lebanon Township Police","NJ","NJ0101900","Yes",6055,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Watchung Police","NJ","NJ0182100","Yes",6018,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Hudson Police Department","NY","NY0100100","Yes",6004,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Old Tappan Police","NJ","NJ0024300","Yes",5904,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Jamesburg Police","NJ","NJ0120800","Yes",5878,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Logan Township Police","NJ","NJ0080900","Yes",5847,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Woodcliff Lake Police","NJ","NJ0026800","Yes",5845,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;OC Spray;Baton;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Prospect Park Boro Police","NJ","NJ0161000","Yes",5834,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Roseland Police","NJ","NJ0071800","Yes",5829,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","Use of force form","Officer","Display Firearm/Discharge Firearm/Baton/Not Applicable (Impact Weapon)/Not Applicable (Bean Bag)/OC Spray/Not Applicable (Other Chemical)/Not Applicable (Display Taser)/Not Applicable (Discharge Taser)/Not Applicable (Neck Restraint)/Not Applicable (Takedown)/Not Applicable (Open Hand)/Not Applicable (Closed Hand)/Not Applicable (Leg Restraints)",NA,3,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Andover Township Police","NJ","NJ0190200","Yes",5826,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Mullica Township Police","NJ","NJ0011700","Yes",5825,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Paulsboro Police","NJ","NJ0081400","Yes",5820,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,30,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Margate Police","NJ","NJ0011600","Yes",5813,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Baton","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Manasquan Police","NJ","NJ0132700","Yes",5796,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;OC Spray;Baton;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Norwood Police","NJ","NJ0024100","Yes",5792,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","Use of force form","Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Not Applicable (Other Chemical)/Not Applicable (Display Taser)/Not Applicable (Discharge Taser)/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",NA,3,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Little Silver Police","NJ","NJ0132300","Yes",5761,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
